sentence,label
"을은 갑의 요구 사항을 고려하여 조건 변경에 대해 협의할 수 있으며, 상호 합의가 이루어지면 조건을 조정할 수 있다.",0
을은 계약 갱신 여부에 대해 갑과 사전 협의를 거쳐 상호 합의하에 결정할 수 있다.,0
"갑은 을에게 공급한 제품에 대해 어떠한 품질 보증도 하지 않으며, 발생한 문제에 대해 책임을 지지 않는다.",1
"을은 갑이 요구한 가격을 반드시 수락해야 하며, 이를 거부할 수 없다.",1
갑은 계약 기간 동안 을이 공급하는 제품의 품질을 확인할 권리가 없다.,1
을은 계약 종료 후 1년 이내에 갑과 동일한 조건으로 다른 거래를 할 수 없다.,1
"갑은 계약을 해지하려는 경우, 을에게 어떠한 보상도 하지 않는다.",1
"을은 갑이 요구하는 모든 조건을 무조건적으로 따라야 하며, 이를 변경할 수 없다.",1
갑은 계약 이행 중 발생한 지연에 대해 책임을 지지 않는다.,1
을은 갑의 요청이 없으면 계약의 갱신 여부를 논의할 수 없다.,1
"갑은 계약 기간 동안 을이 공급하는 제품을 반드시 구매해야 하며, 이를 거부할 수 없다.",1
"을은 갑이 지정한 장소와 시간에 제품을 납품해야 하며, 이를 변경할 수 없다.",1
"갑은 을에게 공급한 제품에 대해 품질 보증을 제공하며, 제품에 결함이 있을 경우 교환 또는 환불을 통해 해결한다.",0
"을은 갑이 제시한 가격을 검토한 후, 상호 협의하여 가격을 결정할 수 있다.",0
"갑은 계약 기간 동안 을이 공급하는 제품에 대해 품질을 확인할 권리를 가지며, 품질 검사 후 문제가 있을 경우 개선을 요청할 수 있다.",0
"을은 계약 종료 후 1년 이내에 갑과 우선 협상권을 가지며, 새로운 거래 조건에 대해 합의할 수 있다.",0
"갑은 계약을 해지하려는 경우, 을에게 발생한 합리적인 손해에 대해 보상을 제공할 수 있다.",0
을은 갑의 요구 사항을 반영하여 협의 후 조건을 조정할 수 있다.,0
"갑은 계약 이행 중 발생한 지연에 대해 을과 협의하여 해결책을 마련하고, 발생한 지연에 대해 합리적으로 책임을 분담한다.",0
"을은 계약 종료 3개월 전에 갱신 여부를 논의할 수 있으며, 갑과의 협의를 통해 갱신 여부를 결정한다.",0
"갑은 계약 기간 동안 을이 공급하는 제품을 구매하되, 구매 조건에 대해 상호 협의 후 결정할 수 있다.",0
"을은 갑과 협의하여 제품 납품 장소와 시간을 조정할 수 있으며, 변경 사항에 대해 충분히 사전 통지한다.",0
"갑은 을의 제품에 대한 품질 검사 없이 제품을 수령하고, 제품에 대한 책임을 지지 않는다.",1
"을은 갑이 요청한 대로 제품을 반드시 납품해야 하며, 납품 일정의 변경을 요청할 수 없다.",1
"갑은 계약 해지 시 을에게 어떠한 보상도 지급하지 않으며, 계약 해지 후 발생한 손해에 대해 책임지지 않는다.",1
"갑은 계약 체결 후 을의 요청에 대해 응답할 의무가 없으며, 갑이 원하는 경우 계약을 언제든지 해지할 수 있다.",1
"을은 갑의 계약 조건에 대해 이의를 제기할 수 없으며, 계약 조건은 절대 변경될 수 없다.",1
"갑은 을의 요구 사항을 따를 의무가 있으며, 계약 종료 후에도 갑의 의무는 계속해서 이행되어야 한다.",1
을은 갑의 승인을 받지 않고도 가격을 일방적으로 조정할 수 있다.,1
"갑은 을이 제공하는 제품에 대해 어떠한 검사를 거부할 수 없으며, 제품에 결함이 있어도 책임을 지지 않는다.",1
"을은 계약 해지 시 갑에게 어떠한 해지 수수료도 지급하지 않으며, 갑은 을에게 해지에 대한 보상을 요구할 수 없다.",1
"갑은 을의 공급 중단에 대해 사전 통지할 의무가 없으며, 갑의 이유로 발생한 지연에 대해 을은 책임을 지지 않는다.",1
"갑은 을의 제품에 대해 품질 검사를 진행할 수 있으며, 제품에 결함이 있을 경우 을에게 교환 또는 환불을 요청할 수 있다.",0
"을은 갑과 협의하여 납품 일정 및 조건을 조정할 수 있으며, 양측의 합의에 따라 유연하게 변경할 수 있다.",0
"갑은 계약 해지 시 을이 입은 손해를 합리적으로 보상하며, 해지 후 발생할 수 있는 손해에 대해 협의하여 책임을 분담한다.",0
"갑은 을의 요청에 대해 합리적인 기간 내에 응답할 의무가 있으며, 계약 해지 시 최소 30일 전 사전 통지를 제공해야 한다.",0
"을은 갑의 계약 조건에 대해 의견을 제시할 수 있으며, 양측의 합의에 따라 계약 조건을 수정하거나 보완할 수 있다.",0
"갑은 을의 요구 사항을 충족시키기 위해 협의하여 실행할 의무가 있으며, 계약 종료 후 양측은 합리적인 기간 내에 의무를 마무리한다.",0
"을은 가격을 변경하고자 할 경우, 최소 30일 전에 갑과 협의하여 합의된 가격을 제시해야 한다.",0
"갑은 을이 제공하는 제품에 대해 검사할 권리를 가지며, 결함이 있을 경우 을에게 교환 또는 환불을 요구할 수 있다.",0
"을은 계약 해지 시 갑에게 일정한 해지 수수료를 지급할 수 있으며, 갑은 을에게 발생한 손해에 대해 보상을 요구할 수 있다.",0
"갑은 을에게 공급 중단 및 지연에 대한 사전 통지 의무가 있으며, 지연 발생 시 양측은 협의하여 대체 공급 방안을 마련한다.",0
"갑은 을에게 계약 체결 후 30일 이내에 모든 상품을 납품해야 하며, 납품 지연 시에는 즉시 계약을 해지할 수 있다.",1
을은 갑이 제공한 모든 제품에 대해 일체의 반품을 할 수 없다.,1
갑은 을의 요청에 따라 즉시 모든 추가 비용을 부담해야 한다.,1
"계약 해지 시, 을은 갑에게 이미 지급한 모든 금액을 반환하지 않는다.",1
"갑은 을의 계약 위반 시, 모든 손해를 갑이 전액 책임진다.",1
계약서에 서명한 날로부터 1년 동안 갑은 가격 인상 없이 계속 제공해야 한다.,1
"갑은 제품의 품질에 대한 모든 책임을 지며, 불량품에 대해서도 반품 불가 조건을 적용한다.",1
"을은 갑이 지정한 방식으로만 지급해야 하며, 지급 방법에 대한 협상은 불가능하다.",1
갑은 계약 기간 중에 을의 요청하는 모든 변경 사항을 즉시 수용해야 한다.,1
"계약이 해지될 경우, 갑은 을에게 손해배상을 하지 않는다.",1
"갑은 계약 체결 후 30일 이내에 모든 상품을 납품해야 하며, 납품 지연 시에는 합리적인 기간을 두고 상대방과 협의 후 처리해야 한다.",0
"을은 제품에 하자가 있을 경우, 구매 후 일정 기간 내에 반품 및 교환을 요청할 수 있다.",0
갑은 을의 요청에 따라 추가 비용에 대해 협의를 통해 분담할 수 있다.,0
"계약 해지 시, 을은 이미 지급한 금액에 대해 합당한 사유가 있을 경우 일부 또는 전액을 반환할 수 있다.",0
"계약 위반 시, 갑과 을은 각자의 과실 비율에 따라 손해를 분담한다.",0
계약서에 서명한 날로부터 1년 동안 가격 인상은 사전에 상호 합의에 의해 결정된다.,0
"갑은 제품의 품질에 대한 책임을 지며, 불량품에 대해서는 합리적인 반품 조건을 적용한다.",0
을은 갑과 협의하여 합리적인 방식으로 지급 방법을 결정할 수 있다.,0
갑은 계약 기간 중에 을이 요청하는 변경 사항을 합리적인 시간 내에 검토하고 협의 후 수용할 수 있다.,0
"계약이 해지될 경우, 갑은 계약 해지 사유에 따라 을에게 적절한 손해배상을 할 수 있다.",0
"갑은 을이 지정한 모든 납품 기한을 무조건 준수해야 하며, 기한 미준수 시 모든 비용을 갑이 부담한다.",1
"을은 갑이 제공한 모든 제품에 대해 반품 및 교환을 할 수 없으며, 구매 후 10일 이내에만 품질 문제를 제기할 수 있다.",1
"계약 해지 시, 갑은 을에게 지급한 금액을 전액 반환하지 않으며, 해지 통보일로부터 30일 이내에 반품만 가능하다.",1
갑은 을의 요청에 의해 가격 변동 없이 모든 추가 비용을 부담해야 한다.,1
"갑은 계약 해지 및 취소 시, 모든 손해배상 책임을 지며, 을은 이에 대해 아무런 책임을 지지 않는다.",1
"을은 갑이 제시한 가격을 무조건 수락해야 하며, 가격 협상은 불가능하다.",1
"갑은 을이 주문한 모든 상품에 대해 무조건적인 품질 보증을 제공하지 않으며, 품질 불만에 대한 책임은 을이 전액 부담한다.",1
"갑은 계약 기간 동안 을이 요청한 모든 제품에 대해 즉시 납품을 해야 하며, 납품 지연에 대한 추가 보상은 요구할 수 없다.",1
"을은 갑이 제공한 모든 계약 조건을 변경할 수 없으며, 계약 후 변경 사항에 대해서는 을이 일방적으로 부담한다.",1
"갑은 모든 계약 관련 분쟁에서 을에게 전적인 책임을 지며, 법적 비용도 전액 갑이 부담한다.",1
"갑은 을과 합의한 납품 기한을 준수해야 하며, 기한 미준수 시 양 당사자가 협의하여 발생할 수 있는 비용을 분담한다.",0
"을은 제품에 품질 문제가 있을 경우, 구매 후 일정 기간 내에 반품 또는 교환을 요청할 수 있다.",0
"계약 해지 시, 갑은 을에게 지급한 금액을 해지 사유에 따라 일부 또는 전액 반환하며, 반품도 일정 기간 내에 가능합니다.",0
"갑은 을과 협의하여 가격 변동에 대한 합리적인 기준을 마련하고, 추가 비용은 상호 협의 후 분담한다.",0
"계약 해지 시, 양 당사자는 각자의 책임을 비례적으로 분담하며, 손해배상도 과실에 따른 비율로 나누어 부담한다.",0
"을은 갑과 가격 협상을 통해 합리적인 가격을 결정할 수 있으며, 협상 후 양 당사자가 동의하는 가격으로 거래한다.",0
"갑은 을에게 품질 보증을 제공하며, 품질 문제 발생 시, 갑은 이에 대해 책임을 지고, 합리적인 조치를 취한다.",0
"갑은 계약 기간 동안 합리적인 납품 기한 내에 제품을 제공하며, 지연 발생 시에는 양 당사자가 협의하여 조정을 한다.",0
"을은 계약 조건 변경을 요청할 수 있으며, 변경 사항에 대해 갑과 협의하여 조건을 수정할 수 있다.",0
"갑과 을은 계약 관련 분쟁 발생 시, 각각의 책임 범위에 따라 법적 비용을 분담한다.",0
"갑은 을이 지정한 장소로 모든 제품을 무조건적으로 24시간 이내에 납품해야 하며, 이를 어길 경우 갑은 계약을 즉시 해지당한다.",1
"을은 갑이 제공하는 제품에 대해 어떠한 불만도 제기할 수 없으며, 일체의 반품과 교환은 불가능하다.",1
"계약 해지 시, 갑은 이미 지급한 금액을 반환하지 않으며, 모든 비용은 갑이 전액 부담한다.",1
"갑은 을의 요청에 따라 즉시 모든 제품을 추가로 제공해야 하며, 추가 비용은 갑이 전액 부담한다.",1
갑은 계약 종료 후에도 모든 갑의 책임을 을이 전액 부담해야 한다.,1
"계약서에 서명한 날로부터 6개월 동안 가격 변동은 불가능하며, 갑은 절대로 가격을 인상할 수 없다.",1
"갑은 을이 주문한 제품에 대해 품질 보증을 하지 않으며, 품질 문제 발생 시 전액 비용을 갑이 부담한다.",1
"을은 갑이 지정한 방법으로만 지급해야 하며, 지급 기한도 갑이 설정한 일정에 맞춰야 한다.",1
"계약을 해지할 경우, 갑은 을에게 모든 손해를 전액 보상해야 하며, 해지 사유에 관계없이 보상은 무조건 이루어진다.",1
"갑은 계약의 이행에 있어 모든 불이익을 전적으로 을이 부담해야 하며, 갑은 책임을 지지 않는다.",1
"갑은 을과 합의한 장소로 제품을 납품해야 하며, 납품 기한 미준수 시 양 당사자가 협의하여 보완할 수 있는 시간을 제공한다.",0
"을은 제품에 품질 문제가 있을 경우, 구매 후 일정 기간 내에 반품이나 교환을 요청할 수 있다.",0
"계약 해지 시, 갑은 이미 지급한 금액에 대해 사유에 따라 일부 또는 전액을 반환할 수 있으며, 비용 분담에 대해 협의한다.",0
"갑은 을의 요청에 따라 추가 제품을 제공할 수 있으며, 추가 비용은 양 당사자가 협의하여 분담한다.",0
계약 종료 후 발생하는 책임은 양 당사자가 각자의 책임 범위에 따라 분담한다.,0
"계약서에 서명한 날로부터 6개월 동안 가격 변동은 사전 합의를 통해 결정되며, 가격 인상은 양 당사자가 협의 후 결정한다.",0
"갑은 제품에 대해 품질 보증을 제공하며, 품질 문제 발생 시 양 당사자가 협의하여 해결 방안을 마련한다.",0
을은 갑과 협의하여 지급 방법 및 지급 기한을 상호 동의 후 설정할 수 있다.,0
"계약 해지 시, 양 당사자는 각자의 과실 및 해지 사유에 따라 손해 배상 범위를 협의하여 결정한다.",0
"계약 이행 중 발생할 수 있는 불이익은 양 당사자가 합리적으로 분담하며, 각자의 책임 범위에 맞게 해결한다.",0
"갑은 계약 기간 동안 가격을 변경할 수 없으며, 을은 가격 변경을 요청할 수 없다.",1
"갑은 을이 요구하는 모든 제품을 즉시 납품해야 하며, 납품 지연 시 을은 아무런 불이익을 지지 않는다.",1
"을은 계약 해지 시, 갑이 제공한 모든 제품에 대해 100% 비용을 지불해야 하며, 그 외에 추가 비용은 발생하지 않는다.",1
"갑은 을의 요청에 따라 즉시 계약을 해지할 수 있으며, 이에 따른 어떤 보상도 요구할 수 없다.",1
"계약 해지 시, 을은 갑에게 모든 손해를 전액 보상해야 하며, 갑은 아무런 책임을 지지 않는다.",1
"갑은 계약 이행 중 발생하는 모든 문제에 대해 을이 전적으로 책임을 져야 하며, 갑은 아무런 책임을 지지 않는다.",1
"갑은 을의 요구에 따라 제품을 즉시 공급해야 하며, 공급에 따른 추가 비용은 갑이 전액 부담한다.",1
"계약 기간 동안 갑은 제품에 대해 어떠한 품질 보증도 제공하지 않으며, 불량품에 대해서는 전액 반환하지 않는다.",1
"을은 갑이 지정한 지급 방법을 무조건 따라야 하며, 지급 기한을 연장할 수 없다.",1
"갑은 계약 체결 후 어떤 이유로도 가격을 인상할 수 없으며, 가격 인상 요구는 절대 허용되지 않는다.",1
"갑은 계약 기간 동안 가격 변경을 요청할 수 있으며, 가격 변경은 양 당사자가 협의 후 합의하여 결정한다.",0
"갑은 을과 합의한 납품 기한을 준수해야 하며, 납품 지연 시 양 당사자가 협의하여 적절한 조치를 취한다.",0
"을은 계약 해지 시, 이미 제공된 제품에 대해 적절한 비용을 지불하고, 해지 시 발생하는 추가 비용은 양 당사자가 협의하여 분담한다.",0
"갑은 계약 해지에 대해 을과 상호 협의 후 진행하며, 해지에 따른 보상은 계약 조건에 따라 공정하게 분배된다.",0
"계약 해지 시, 양 당사자는 각자의 책임을 비례적으로 분담하며, 손해배상은 과실 비율에 따라 공정하게 처리된다.",0
"계약 이행 중 발생하는 문제는 양 당사자가 협의하여 해결하며, 각자의 책임 범위에 따라 처리한다.",0
"갑은 을의 요구에 따라 추가 제품을 공급할 수 있으며, 추가 비용은 양 당사자가 협의하여 분담한다.",0
"갑은 제품에 대해 품질 보증을 제공하며, 불량품에 대해서는 일정 기간 내에 반품이나 교환을 허용한다.",0
"을은 갑과 협의하여 지급 방법과 기한을 설정할 수 있으며, 양 당사자가 합의한 조건에 따라 유연하게 조정할 수 있다.",0
"갑은 계약 체결 후 일정 조건에 따라 가격 인상 요구를 할 수 있으며, 가격 인상은 양 당사자가 사전 합의하여 결정한다.",0
"갑은 제품 공급 후 일체의 제품에 대한 보증을 제공하지 않으며, 품질 문제가 발생해도 을은 모든 책임을 전액 부담한다.",1
"을은 갑이 제공하는 모든 제품에 대해 100% 선불로 결제해야 하며, 어떤 경우에도 환불을 받을 수 없다.",1
"갑은 계약 체결 후 제품의 가격을 인상할 수 없으며, 을은 가격 인상에 대한 이의를 제기할 수 없다.",1
갑은 모든 계약 변경 사항에 대해 을의 동의 없이 일방적으로 변경할 수 있다.,1
"을은 계약 해지 시 갑에게 지급한 모든 금액을 반환하지 않으며, 이미 공급된 제품에 대해서도 일체의 반품이 불가능하다.",1
계약 기간 동안 갑은 가격 변동에 대해 을에게 아무런 사전 통보 없이 가격을 자유롭게 인상할 수 있다.,1
"갑은 을의 요청에 따라 제품을 즉시 납품해야 하며, 납품 지연에 따른 모든 손해는 을이 전적으로 책임진다.",1
"을은 계약을 해지할 수 없으며, 갑이 일방적으로 계약을 해지할 경우에도 을은 보상 요구를 할 수 없다.",1
"갑은 제품의 품질과 관련된 책임을 일체 지지 않으며, 품질에 문제가 생길 경우 을이 전적으로 책임을 져야 한다.",1
"을은 갑이 지정한 지급 방법만을 따라야 하며, 지급 기한은 갑이 일방적으로 설정한 날짜에 맞춰야 한다.",1
"갑은 제품에 대한 품질 보증을 제공하며, 품질 문제가 발생한 경우 을과 갑이 협의하여 적절한 해결책을 마련한다.",0
"을은 제품에 대해 협의된 결제 조건에 따라 결제하며, 불량품 발생 시 일정 기간 내 환불을 요청할 수 있다.",0
"갑은 계약 체결 후 가격 인상에 대한 협상을 을과 진행하며, 양 당사자가 합의한 조건에 따라 가격을 조정할 수 있다.",0
계약 변경 시 양 당사자는 상호 동의 하에 변경 사항을 합의하고 서면으로 기록해야 한다.,0
"계약 해지 시, 을은 이미 지급한 금액을 반환받을 수 있으며, 공급된 제품에 대해 품질 문제가 있을 경우 반품 및 교환을 요청할 수 있다.",0
"계약 기간 동안 가격 인상은 양 당사자가 사전 협의 후 결정되며, 그에 대한 충분한 사전 통보가 이루어진다.",0
"갑은 계약 체결 시 합의된 납품 기한을 준수해야 하며, 납품 지연 시에는 양 당사자가 협의하여 적절한 해결 방안을 마련한다.",0
"을은 계약을 해지할 수 있으며, 갑이 일방적으로 계약을 해지할 경우 적절한 보상을 받을 수 있다.",0
"갑은 제품의 품질에 대해 일정 기간 보증하며, 품질에 문제가 있을 경우 갑은 적절한 조치를 취한다.",0
을은 갑과 협의하여 지급 방법과 기한을 상호 동의 후 설정할 수 있다.,0
"갑은 제품을 공급한 후, 을이 제품에 대해 불만을 제기할 경우 일체의 책임을 지지 않으며, 반품 및 교환을 허용하지 않는다.",1
"을은 갑이 지정한 장소로만 제품을 수령할 수 있으며, 다른 장소로의 배송은 불가능하다.",1
"갑은 계약 체결 후 제품의 가격을 인상할 수 있으며, 을은 이에 대한 이의를 제기할 수 없다.",1
"갑은 제품을 제공한 후, 을이 제품을 확인하는 기간 없이 즉시 결제를 요구할 수 있다.",1
"갑은 계약 해지 시, 을에게 지급한 모든 금액을 반환하지 않으며, 해지에 따른 손해배상 책임을 지지 않는다.",1
"갑은 제품의 품질에 대해 보증하지 않으며, 품질 문제가 발생한 경우 을이 전액 비용을 부담한다.",1
"계약 체결 후, 갑은 가격 외에 추가 비용을 을에게 고지할 의무가 없다.",1
"갑은 계약 해지 후에도 을이 제공한 모든 금액을 반환하지 않으며, 해지 사유와 관계없이 계약을 유지한다.",1
"을은 갑이 제시한 모든 조건을 무조건적으로 따르며, 계약 조건 변경은 불가능하다.",1
갑은 계약 기간 동안 을이 요청한 모든 추가 비용을 무조건적으로 부담해야 한다.,1
"갑은 제품에 대해 품질 보증을 제공하며, 제품에 불만이 있을 경우 을은 일정 기간 내에 반품 또는 교환을 요청할 수 있다.",0
"을은 제품 수령 장소를 갑과 협의하여 결정할 수 있으며, 양 당사자가 합의한 조건에 따라 배송이 이루어진다.",0
"갑은 가격 인상을 요청할 수 있으나, 가격 인상은 양 당사자가 협의 후 합의하여 결정된다.",0
"갑은 제품을 제공한 후, 을이 제품을 확인할 수 있는 합리적인 기간을 제공하며, 결제는 해당 기간 후에 이루어진다.",0
"계약 해지 시, 양 당사자는 각자의 책임 범위에 따라 적절한 손해배상 및 금액 반환을 협의한다.",0
"갑은 제품에 대해 품질 보증을 제공하며, 품질 문제가 발생한 경우 갑은 적절한 조치를 취한다.",0
"갑은 계약 체결 시, 가격 외에 발생할 수 있는 추가 비용에 대해 사전 고지하고, 이에 대해 양 당사자가 협의한다.",0
"계약 해지 후, 양 당사자는 계약 해지 사유에 따라 공정하게 금액 반환 및 기타 조건을 협의한다.",0
"을은 계약 조건 변경을 요청할 수 있으며, 변경 사항은 양 당사자가 협의하여 수정할 수 있다.",0
"갑은 을의 요청에 따라 추가 비용을 협의하여 분담할 수 있으며, 해당 비용에 대한 합리적인 협의가 이루어진다.",0
"갑은 을이 지정한 장소로만 제품을 납품해야 하며, 납품 지연 시 을에게 아무런 책임을 묻지 않는다.",1
"을은 갑이 제공한 가격을 무조건 수락해야 하며, 가격 변경을 요청할 수 없다.",1
"갑은 계약 해지 후 을에게 지급한 모든 금액을 반환하지 않으며, 을은 그에 대해 이의를 제기할 수 없다.",1
"을은 갑이 정한 납품 일정에 대해 이의를 제기할 수 없으며, 갑은 이를 일방적으로 조정할 수 있다.",1
"갑은 제품의 품질에 대해 아무런 보증을 하지 않으며, 을은 품질 문제에 대해 전적으로 책임을 져야 한다.",1
"을은 계약 체결 후 갑이 제시한 가격을 무조건 지불해야 하며, 기한 연장을 요청할 수 없다.",1
"갑은 계약 기간 동안 언제든지 을에게 제공하는 상품을 변경할 수 있으며, 을은 이에 대해 이의를 제기할 수 없다.",1
"을은 갑이 지정한 장소에서만 제품을 수령해야 하며, 다른 장소로의 배송은 불가능하다.",1
"갑은 계약 해지 시 을에게 어떠한 손해배상도 하지 않으며, 을은 이에 대해 아무런 이의를 제기할 수 없다.",1
"을은 갑의 요구에 따라 모든 계약 조건을 무조건 따라야 하며, 조건 변경은 불가능하다.",1
"갑은 계약에 명시된 납품 기한을 준수해야 하며, 납품 지연 시 을과 협의하여 해결 방안을 마련한다.",0
"을은 갑과 협의하여 가격을 설정하며, 가격 변경이 필요한 경우 양 당사자가 합의하여 결정한다.",0
"계약 해지 시, 을은 지급한 금액에 대해 사유에 따라 반환을 요청할 수 있으며, 갑은 이를 협의하여 처리한다.",0
"을은 납품 일정에 대해 갑과 협의할 수 있으며, 일정을 변경할 경우 양 당사자가 동의한 후 수정한다.",0
"갑은 제품에 대해 품질 보증을 제공하며, 품질 문제가 발생한 경우 을과 협의하여 해결한다.",0
을은 갑과 협의하여 지불 방법과 기한을 설정할 수 있다.,0
"갑은 계약 기간 동안 상품 변경을 요청할 수 있으나, 변경 사항은 을과 협의하여 합의된 후 진행한다.",0
"을은 제품 수령 장소를 갑과 협의하여 조정할 수 있으며, 합의된 장소로 제품이 배송된다.",0
"계약 해지 시, 갑과 을은 손해배상 범위와 조건을 협의하여 공정하게 처리한다.",0
"을은 계약 조건 변경을 요청할 수 있으며, 변경 사항은 갑과 협의하여 합의 후 적용된다.",0
"갑은 을에게 제품을 공급한 후, 을이 제품에 대해 이의를 제기할 수 없으며, 제품에 문제가 발생해도 갑은 책임을 지지 않는다.",1
"을은 갑이 제시한 가격을 무조건 수락해야 하며, 가격 변경이나 협상은 불가능하다.",1
"갑은 계약을 해지할 수 있으며, 해지 시 을은 이미 지급한 금액을 반환받을 수 없다.",1
"을은 갑이 지정한 장소에서만 제품을 수령해야 하며, 다른 장소로의 배송은 불가능하다.",1
갑은 계약 이행 중 발생하는 모든 추가 비용을 을에게 일방적으로 전가할 수 있다.,1
"을은 계약 체결 후 갑이 요구하는 모든 조건을 무조건 따르며, 계약 조건 변경은 불가능하다.",1
"갑은 제품의 품질을 보증하지 않으며, 을이 제품에 대해 품질 불만을 제기하면 이를 무시할 수 있다.",1
"을은 계약 기간 동안 갑이 지정한 납품 일정을 반드시 따라야 하며, 일정을 변경할 수 없다.",1
"갑은 계약 해지 후 을에게 전액 보상하지 않으며, 계약 해지에 대한 어떤 이의도 받을 수 없다.",1
"을은 갑이 제공한 제품에 대해 어떠한 반품도 할 수 없으며, 제품에 대한 교환도 불가능하다.",1
"갑은 을에게 제품을 공급한 후, 을이 제품에 대해 이의를 제기할 수 있으며, 제품에 문제가 발생할 경우 갑은 품질 보증을 제공하고 적절한 조치를 취한다.",0
"을은 갑과 가격에 대해 협의할 수 있으며, 가격 변경은 양 당사자가 합의한 후 진행된다.",0
"계약 해지 시, 갑은 계약을 해지할 수 있으나, 해지 시 을은 이미 지급한 금액에 대해 반환을 요청할 수 있으며, 양 당사자가 협의하여 처리한다.",0
"을은 제품 수령 장소를 갑과 협의하여 조정할 수 있으며, 합의된 장소로 배송이 이루어진다.",0
갑은 계약 이행 중 발생하는 추가 비용에 대해 을과 협의하여 공정하게 분담한다.,0
"을은 계약 조건 변경을 요청할 수 있으며, 변경 사항은 갑과 협의하여 합의 후 적용된다.",0
"갑은 제품에 대해 품질 보증을 제공하며, 을이 품질 불만을 제기할 경우, 갑은 이를 해결하기 위해 합리적인 조치를 취한다.",0
"을은 갑과 협의하여 납품 일정을 조정할 수 있으며, 일정 변경 시 양 당사자가 동의한 후 수정된다.",0
"계약 해지 시, 갑과 을은 해지 사유에 따라 적절한 보상 및 손해배상을 협의하여 공정하게 처리한다.",0
을은 갑이 제공한 제품에 대해 품질 문제가 있을 경우 일정 기간 내 반품 및 교환을 요청할 수 있다.,0
"갑은 을이 요청한 제품을 제공한 후, 을이 반품을 요청하더라도 이를 처리할 의무가 없다.",1
"을은 갑이 지정한 결제 방법을 무조건적으로 따라야 하며, 결제 연장은 불가능하다.",1
"갑은 계약 해지 후 을에게 지급한 모든 금액을 반환하지 않으며, 계약 해지에 대한 책임은 을에게만 있다.",1
을은 갑이 제공하는 모든 제품에 대해 가격 인상에 대해 아무런 이의를 제기할 수 없다.,1
"갑은 계약 체결 후 을이 요청하는 모든 납품 일정 변경을 거부할 수 있으며, 이를 을이 이행해야 한다.",1
"을은 계약서에 명시된 장소에서만 제품을 수령할 수 있으며, 다른 장소로 배송을 요청할 수 없다.",1
"갑은 을의 계약 이행에 대한 책임을 전적으로 지며, 을은 갑에게 어떤 책임도 물을 수 없다.",1
"갑은 제품의 품질에 대해 일체 보증을 하지 않으며, 품질 문제 발생 시 을이 전액 부담해야 한다.",1
"을은 계약 해지 시, 갑에게 이미 지급한 금액을 환불받을 수 없으며, 어떠한 사유로도 이의를 제기할 수 없다.",1
갑은 계약 이행 중 발생하는 모든 불이익을 을이 전액 부담해야 한다.,1
"갑은 을에게 제품을 공급한 후, 을이 제품에 대해 이의를 제기할 수 있으며, 제품에 문제가 발생할 경우 갑은 품질 보증을 제공하고 적절한 조치를 취한다.",0
"을은 갑과 협의하여 가격을 설정할 수 있으며, 가격 변경은 양 당사자가 합의한 후 진행된다.",0
"계약 해지 시, 갑은 계약을 해지할 수 있으나, 해지 시 을은 이미 지급한 금액에 대해 반환을 요청할 수 있으며, 양 당사자가 협의하여 처리한다.",0
"을은 갑과 협의하여 가격 인상에 대해 이의를 제기할 수 있으며, 가격 인상은 양 당사자가 합의 후 결정한다.",0
