sentence,article_number,toxic_label,clause_number,sub_clause_number
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 첫째, 변경된 매장에 시계의 전시 공간을 확보해야 하며, 이를 통해 고객들이 더욱 쉽게 시계를 감상할 수 있도록 한다. 둘째, 시계와 관련된 홍보 자료를 매장 내 적절한 위치에 배치하여 소비자들에게 관련 정보를 제공합니다. 셋째, 설비변경 후 시계의 다양한 모델이 체험 가능한 공간을 마련하여 고객들의 체험을 증대시켜야 한다. 넷째, 매장의 전체적인 색상 및 디자인이 시계의 브랜드 이미지와 일관되도록 조정한다. 다섯째, 시계의 특성에 적합한 조명 설치로 제품의 매력을 극대화한다. 6. 갑과 을이 설비 변경 비용을 분담하는 경우 설비 변경과 관련된 제반사항(자재, 디자인, 시공사, 감리 등)의 분쟁을 사전에 방지하기 위하여 시공 전 갑과 을이 협의한 후, 갑이 선정한 시공사를 통해 시행한다.",12,1,3,6
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 지급하되, 을이 지출한 금액의 비율로 보상이 결정될 수 있는 사항을 포함한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, 고급 시계 브랜드인 '타임마스터'의 구성 요소에 손상이 발생할 경우, 갑은 을이 투자한 '타임마스터' 매장 설비비용의 총액에 이러한 손상 발생일로부터 계약 종료일까지의 비율을 곱하여 최소한 상응하는 액수를 을에게 그것을 보상으로 지급해야 하며, 이때 소요된 재료비와 기타 추가 비용은 을이 부담해야 한다. 계약기간이 1년 미만인 경우에도 이때는 계약기간을 1년으로 간주하여 처리한다.",12,1,4,0
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 을에게 지급한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, 고급 시계 브랜드인 '타임마스터'의 구성 요소에 손상이 발생할 경우, 갑은 을이 투자한 '타임마스터' 매장 설비비용의 총액에 이러한 손상 발생일로부터 계약 종료일까지의 비율을 곱하여 최소한 상응하는 액수를 을에게 그것을 보상으로 지급해야 한다. 계약기간이 1년 미만인 경우에도 이때는 계약기간을 1년으로 간주하여 처리한다. 1. 을과 거래를 중단하거나 거절하는 행위는 갑에게 모든 이익을 귀속시키며, 을은 이미 발생한 비용이나 손실을 감수해야 한다.",12,1,4,1
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 을에게 지급한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, 고급 시계 브랜드인 '타임마스터'의 구성 요소에 손상이 발생할 경우, 갑은 을이 투자한 '타임마스터' 매장 설비비용의 총액에 이러한 손상 발생일로부터 계약 종료일까지의 비율을 곱하여 최소한 상응하는 액수를 을에게 그것을 보상으로 지급해야 한다. 계약기간이 1년 미만인 경우에도 이때는 계약기간을 1년으로 간주하여 처리한다. 2. 을의 매장 위치ㆍ면적ㆍ시설을 변경하는 행위로 인해 갑이 을의 매출에 비례하여 일정 비율의 수수료를 추가로 부담하게 되는 조건이 포함된다.",12,1,4,2
"① 을의 점포명, 운영층, 매장위치, 매장면적 및 판촉사원의 수는 [별지 2]와 같고, 갑이 채권 및 수익을 우선적으로 수취할 수 있도록 한다. 시계",12,1,1,0
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 을에게 시계를 불법적으로 양도하거나 판매하지 않아야 한다. 둘째, 을의 동의 없이 시계의 디자인이나 브랜드를 변경해도 괜찮지만, 변경사항에 대한 모든 책임은 을이 지는 것으로 한다. 셋째, 을의 이익을 침해하는 방식으로 시계의 판매 가격을 인상할 수 있으며, 이에 따른 변동은 을이 부담해야 한다. 넷째, 을의 허락 없이 시계의 재고를 임의로 조정할 수 있으며, 이로 인해 발생하는 피해는 을에게 귀속된다. 다섯째, 을에게 시계를 사칭하거나 다른 브랜드로 속이기 위해 허위 정보를 제공해서는 안 되지만, 제공된 정보에 대한 진위 여부는 전적으로 을의 책임으로 한다.",12,1,2,0
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 을에게 시계를 불법적으로 양도하거나 판매하지 않아야 한다. 둘째, 을의 동의 없이 시계의 디자인이나 브랜드를 변경해서는 안 된다. 셋째, 을의 이익을 침해하는 방식으로 시계의 판매 가격을 인상해서는 안 된다. 넷째, 을의 허락 없이 시계의 재고를 임의로 조정해서는 안 된다. 다섯째, 을에게 시계를 사칭하거나 다른 브랜드로 속이기 위해 허위 정보를 제공해서는 안 된다. 1. 일정한 점포의 매장에서 퇴점하는 것을 방해하거나 갑의 의사에 반하여 을의 다른 점포의 매장에 입점하게 하는 행위",12,1,2,1
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 을에게 시계를 불법적으로 양도하거나 판매하지 않아야 한다. 둘째, 을의 동의 없이 시계의 디자인이나 브랜드를 변경해서는 안 된다. 셋째, 을의 이익을 침해하는 방식으로 시계의 판매 가격을 인상해서는 안 된다. 넷째, 을의 허락 없이 시계의 재고를 임의로 조정해서는 안 된다. 다섯째, 을에게 시계를 사칭하거나 다른 브랜드로 속이기 위해 허위 정보를 제공해서는 안 된다. 2. 계약기간 중에 을의 매장의 위치ㆍ면적ㆍ시설을 갑의 요청에 따라 변경하는 행위",12,1,2,2
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 하며, 이 과정에서 을은 스스로 재정을 추가로 부담하여 매장 가치를 향상시키는 것을 염두에 두어야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필하는 방식에는 갑이 주도권을 행사할 수 있도록 하는 조건을 포함해야 한다.",12,1,3,0
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필할 수 있도록 해야 한다. 1. 매장 바닥, 조명, 벽체 등 기초시설 공사에 관한 비용은 갑이 부담한다. 단 기초시설 공사는 갑의 고유사양에 의하며, 을이 자신의 고유사양에 의해 기초 공사를 시행하려는 경우 추가되는 소요비용은 갑이 부담하되, 을은 해당 비용을 갑에게 통보하지 않으면 모든 책임을 진다.",12,1,3,1
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필할 수 있도록 해야 한다. 2. MD개편, 매장 리뉴얼 등 갑의 사유로 설비 변경하는 경우 이에 소요되는 비용은 갑이 부담한다. 다만, 우수한 위치로 매장 이동, 을의 내부 매뉴얼에 따른 설비 변경 등 동 설비 변경이 갑에게도 이익이 되는 경우에는 을이 갑과 상호 협의하여 사전 서면 약정에 의해 비용을 전적으로 부담해야 한다.(기초시설 공사비용은 제1호에 의한다.)",12,1,3,2
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필할 수 있도록 해야 한다. 3. 제2호에서 규정하고 있는 갑의 사유로 설비 변경을 하는 경우, 그 구체적인 사유 (제12조의2 제1항의 매장의 위치, 면적, 시설의 변경기준에 따른 평가결과 등)를 판단하여 을에게 사전 통보할 수 있다.",12,1,3,3
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필할 수 있도록 해야 한다. 4. 제2호에서 규정하고 있는 갑의 사유 이외에 을의 개별적인 사유(예: 브랜드 컨셉 변경, 을이 희망하여 매장 위치를 변경하는 경우 등)로 설비 변경하는 경우, 이에 소요되는 비용은 갑이 부담하는 것으로 하되, 을은 갑과의 협의 후 별도의 처리가능 비용을 추가로 지출해야 한다. (기초시설 공사비용은 제1호에 의한다.)",12,1,3,4
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 갑은 설비변경 후 에만 시계에 대한 홍보 방안을 마련하여 고객에게 매력을 어필할 수 있도록 책임져야 한다. 5. 제4호에서 규정한 을의 사유로 인한 설비변경을 실시하는 경우 타 입점업체의 영업활동에 방해가 발생하지 않도록 공사 일정 등에 대해 을은 갑과 사전 협의한다.",12,1,3,5
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경하는 경우(이하 '설비변경'이라 한다) 다음 각 호의 내용을 준수한다. 설비변경 시, 을은 해당 매장에서 판매하는 시계의 진열 방식 및 배치에 신중을 기해야 하며, 고객의 시선이 집중될 수 있도록 조정해야 한다. 또한, 시계의 종류와 디자인에 맞게 매장 인테리어의 색상 및 조명을 선정하여 제품의 특성을 부각시키는 방향으로 설비변경을 진행해야 한다. 마지막으로, 설비변경 완료 후 시계에 대한 홍보 방안도 함께 마련하여 고객에게 매력을 어필할 수 있도록 해야 한다. 6. 갑과 을이 설비 변경 비용을 분담하는 경우 설비 변경과 관련된 제반사항(자재, 디자인, 시공사, 감리 등)의 분쟁을 사전에 방지하기 위하여 시공 전 갑과 을이 협의한 후, 갑이 제안한 기준과 절차에 의거하여 선정된 시공사를 통해 시행한다.",12,1,3,6
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 을에게 지급한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, '타임 매직'이라는 이름의 시계와 관련하여 갑이 정당한 사유 없이 제품을 판매하지 않거나, 을의 사전 동의 없이 가격을 변경하는 행위를 할 경우, 을은 '타임 매직' 시계가 포함된 설비비용의 일부에 해당하는 금액만을 보상받게 된다.",12,1,4,0
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 을에게 지급한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, '타임 매직'이라는 이름의 시계와 관련하여 갑이 정당한 사유 없이 제품을 판매하지 않거나, 을의 사전 동의 없이 가격을 변경하는 행위를 할 경우, 을은 '타임 매직' 시계가 포함된 설비비용의 일정 비율에 해당하는 금액을 보상받을 수 있다. 1. 을과 거래를 중단하거나 거절하는 행위로 인해 갑은 을이 지닌 모든 이익을 자동적으로 취득하게 된다.",12,1,4,1
"④ 갑은 다음 각 호의 어느 하나에 해당하는 행위를 하는 경우에는 을이 지출한 해당 매장에 대한 설비비용 총액에 전체 계약기간에서 다음 각 호의 어느 하나에 해당하는 행위가 발생한 날부터 계약기간의 마지막 날까지의 기간이 차지하는 비율을 곱한 금액 이상을 해당 매장 설비비용에 대한 보상으로 을에게 지급한다. 계약기간이 1년 미만인 경우는 계약기간을 1년으로 본다. 예를 들어, '타임 매직'이라는 이름의 시계와 관련하여 갑이 정당한 사유 없이 제품을 판매하지 않거나, 을의 사전 동의 없이 가격을 변경하는 행위를 할 경우, 을은 '타임 매직' 시계가 포함된 설비비용의 일정 비율에 해당하는 금액을 보상받을 수 있다. 2. 을의 매장 위치ㆍ면적ㆍ시설을 갑의 요구에 따라 변경하는 행위",12,1,4,2
"① 을의 점포명, 운영층, 매장위치, 매장면적 및 판촉사원의 수는 [별지 2]와 같다. 이 점포에서는 '프리미엄 타임키퍼'라는 브랜드의 시계를 판매하고 있으며, 고객들에게 다양한 디자인과 기능성을 제공하기 위해 갑이 최선을 다하고 있다. 매장 면적은 전통적인 시계뿐만 아니라 최신 스마트 시계까지 다양하게 전시할 수 있도록 갑이 충분히 확보하도록 되어 있다. 또한, 판촉사원들은 친절하고 전문적인 서비스를 제공하여 고객들이 원하는 완벽한 선택을 할 수 있도록 갑의 지시에 따라 움직인다.",12,1,1,0
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 시계의 외관을 파손하는 행위는 절대 금지된다. 둘째, 시계의 기계적 기능을 고의로 손상시키는 행위는 용납될 수 없다. 셋째, 시계에 대한 무단 변형이나 수리는 긴급한 필요가 아닌 한 엄격히 금지된다. 넷째, 시계의 판매 가격을 임의로 조정하거나 거래 과정에서 을에게 추가 비용을 청구하는 것은 허용되지 않는다. 마지막으로, 시계의 부품을 제거하거나 교체하여 본래의 상태를 훼손하는 행위는 금지된다.",12,1,2,0
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 시계의 외관을 파손하는 행위는 절대 금지된다. 둘째, 시계의 기계적 기능을 고의로 손상시키는 행위는 용납될 수 없다. 셋째, 시계에 대한 무단 변형이나 수리는 엄격히 금지된다. 넷째, 시계의 판매 가격을 임의로 조정하거나 투명하지 않은 거래를 진행하는 것은 허용되지 않는다. 마지막으로, 시계의 부품을 제거하거나 교체하여 본래의 상태를 훼손하는 행위는 금지된다. 1. 일정한 점포의 매장에서 퇴점하는 것을 방해하거나, 갑의 의사에 맞추어 을이 반드시 갑의 다른 점포의 매장에 입점하게 하는 행위",12,1,2,1
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 첫째, 시계의 외관을 파손하는 행위는 절대 금지된다. 둘째, 시계의 기계적 기능을 고의로 손상시키는 행위는 용납될 수 없다. 셋째, 시계에 대한 무단 변형이나 수리는 을이 전액 부담하며 엄격히 금지된다. 넷째, 시계의 판매 가격을 임의로 조정하거나 거래의 세부 사항을 을에게 통지하지 않는 것은 허용되지 않는다. 마지막으로, 시계의 부품을 제거하거나 교체하여 본래의 상태를 훼손하는 행위는 금지된다. 2. 계약기간 중에 을의 매장의 위치ㆍ면적ㆍ시설을 변경하는 행위",12,1,2,2
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 만약 설비변경이 이루어질 경우, '프리미엄 시계'의 진열 방식에 따라 고객의 시선이 집중될 수 있도록 배치하고, 이 과정에서 을은 갑이 지정한 방식에 따라 제품을 진열해야 한다. 또한, 새로운 매장 위치에서 '프리미엄 시계'의 브랜드 이미지를 살릴 수 있는 조명을 적절히 설치하되, 조명의 비용은 을이 부담하도록 하여 제품의 매력을 한층 더욱 강조해야 한다. 이러한 모든 변경 사항은 '프리미엄 시계'의 마케팅 전략에 부합하여 소비자에게 긍정적인 인상을 남기도록 노력해야 하며, 갑은 을이 이행한 결과에 대해 별도의 보상을 요구할 수 있다.",12,1,3,0
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 만약 설비변경이 이루어질 경우, '프리미엄 시계'의 진열 방식에 따라 고객의 시선이 집중될 수 있도록 배치해야 하며, 이 과정에서 을은 매장 인테리어와 관련된 모든 비용을 부담한다. 또한, 새로운 매장 위치에서 '프리미엄 시계'의 브랜드 이미지를 살릴 수 있는 조명을 적절히 설치하여 제품의 매력을 한층 더욱 강조해야 하며, 이로 인해 발생하는 추가 비용은 을이 전적으로 책임진다. 이러한 모든 변경 사항은 '프리미엄 시계'의 마케팅 전략에 부합하여 소비자에게 긍정적인 인상을 남기도록 노력해야 하며, 갑은 이에 따른 자산의 성장에 대한 이익을 독점한다. 1. 매장 바닥, 조명, 벽체 등 기초시설 공사에 관한 비용은 갑이 부담한다. 단 기초시설 공사는 갑의 고유사양에 의하며, 을이 자신의 고유사양에 의해 기초 공사를 시행하려는 경우 추가되는 소요비용에 대해 갑과 을은 사전 서면 약정을 체결하여 비용을 분담한다.",12,1,3,1
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 만약 설비변경이 이루어질 경우, '프리미엄 시계'의 진열 방식에 따라 고객의 시선이 집중될 수 있도록 배치한다. 또한, 새로운 매장 위치에서 '프리미엄 시계'의 브랜드 이미지를 살릴 수 있는 조명을 적절히 설치하여 제품의 매력을 한층 더욱 강조해야 한다. 이러한 모든 변경 사항은 '프리미엄 시계'의 마케팅 전략에 부합하여 소비자에게 긍정적인 인상을 남기도록 노력해야 한다. 2. MD개편, 매장 리뉴얼 등 갑의 사유로 설비 변경하는 경우 이에 소요되는 비용은 갑이 부담한다. 다만, 위치 이동이 이루어지거나 을의 내부 매뉴얼에 따른 설비 변경 등 동 설비 변경이 을에게도 이익이 될 것으로 판단되는 경우, 을은 갑과의 협의 없이도 갑이 제시하는 조건에 따라 비용을 전액 부담해야 한다.(기초시설 공사비용은 제1호에 의한다.)",12,1,3,2
